@relation 'Datos-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R12-13,16'

@attribute age numeric
@attribute job {housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,entrepreneur,student}
@attribute marital {married,single,divorced}
@attribute education {basic.4y,high.school,basic.6y,basic.9y,professional.course,university.degree,illiterate}
@attribute default {no,yes}
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute month {may,jun,jul,aug,oct,nov,dec,mar,apr,sep}
@attribute day_of_week {mon,tue,wed,thu,fri}
@attribute campaign numeric
@attribute previous numeric
@attribute cons.price.idx numeric
@attribute cons.conf.idx numeric
@attribute nr.employed numeric
@attribute y {no,yes}

@data
40,technician,married,basic.9y,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
58,retired,married,university.degree,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
42,technician,married,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
35,admin.,single,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
43,retired,married,basic.4y,no,no,no,may,mon,3,0,93.994,-36.4,5191,no
45,blue-collar,married,basic.4y,no,yes,yes,may,mon,1,0,93.994,-36.4,5191,no
39,admin.,married,professional.course,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
50,services,divorced,professional.course,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
32,management,divorced,basic.4y,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
39,admin.,married,high.school,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
52,self-employed,married,university.degree,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
44,admin.,married,professional.course,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
56,blue-collar,married,basic.4y,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
48,admin.,married,high.school,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
33,services,married,high.school,no,no,yes,may,mon,2,0,93.994,-36.4,5191,no
43,management,married,university.degree,no,no,yes,may,mon,3,0,93.994,-36.4,5191,no
57,retired,married,high.school,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
36,technician,single,professional.course,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
34,management,married,university.degree,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
34,services,single,basic.9y,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
30,technician,married,university.degree,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
33,services,divorced,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
32,technician,single,professional.course,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
36,technician,single,high.school,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
36,blue-collar,single,high.school,no,no,yes,may,mon,1,0,93.994,-36.4,5191,no
33,services,single,high.school,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
40,technician,divorced,professional.course,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
41,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
51,services,married,basic.6y,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
36,technician,married,professional.course,no,yes,no,may,mon,3,0,93.994,-36.4,5191,no
28,services,married,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
53,services,married,high.school,no,yes,yes,may,mon,3,0,93.994,-36.4,5191,no
58,blue-collar,married,basic.9y,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
45,management,married,basic.9y,no,no,yes,may,mon,1,0,93.994,-36.4,5191,no
43,technician,married,university.degree,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
33,admin.,married,high.school,no,no,yes,may,mon,1,0,93.994,-36.4,5191,no
33,admin.,married,high.school,no,no,yes,may,mon,1,0,93.994,-36.4,5191,no
27,blue-collar,single,basic.6y,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
42,technician,married,high.school,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
43,admin.,divorced,basic.9y,no,no,no,may,mon,3,0,93.994,-36.4,5191,no
42,admin.,married,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
27,blue-collar,single,basic.6y,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
34,self-employed,single,university.degree,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
31,student,single,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
54,management,divorced,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
40,self-employed,married,basic.4y,no,no,no,may,mon,3,0,93.994,-36.4,5191,no
52,unemployed,married,high.school,no,yes,no,may,mon,1,0,93.994,-36.4,5191,no
47,management,divorced,university.degree,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
49,housemaid,married,basic.9y,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
32,admin.,single,high.school,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
49,housemaid,single,high.school,no,yes,yes,may,mon,2,0,93.994,-36.4,5191,no
50,blue-collar,married,basic.9y,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
34,services,married,high.school,no,no,no,may,mon,1,0,93.994,-36.4,5191,no
55,blue-collar,married,basic.4y,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
47,technician,single,basic.9y,no,no,no,may,mon,4,0,93.994,-36.4,5191,no
51,retired,married,professional.course,no,no,no,may,mon,3,0,93.994,-36.4,5191,no
47,blue-collar,married,basic.6y,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
56,technician,married,basic.4y,no,yes,no,may,mon,3,0,93.994,-36.4,5191,no
53,admin.,married,basic.9y,no,no,no,may,mon,3,0,93.994,-36.4,5191,no
36,blue-collar,married,basic.9y,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
42,blue-collar,divorced,basic.9y,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
44,blue-collar,divorced,basic.6y,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
39,housemaid,married,basic.9y,no,yes,no,may,mon,3,0,93.994,-36.4,5191,yes
37,admin.,single,high.school,no,yes,yes,may,mon,2,0,93.994,-36.4,5191,no
60,blue-collar,married,university.degree,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
36,services,married,high.school,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
42,management,divorced,university.degree,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
31,admin.,married,high.school,no,yes,yes,may,mon,2,0,93.994,-36.4,5191,no
53,technician,divorced,professional.course,no,no,yes,may,mon,2,0,93.994,-36.4,5191,no
45,blue-collar,married,basic.4y,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
37,technician,single,professional.course,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
47,self-employed,married,professional.course,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
49,blue-collar,divorced,high.school,no,no,yes,may,mon,2,0,93.994,-36.4,5191,no
36,admin.,married,university.degree,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
35,services,divorced,high.school,no,no,no,may,mon,3,0,93.994,-36.4,5191,no
38,admin.,married,university.degree,no,no,no,may,mon,4,0,93.994,-36.4,5191,no
38,services,single,high.school,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
50,blue-collar,divorced,high.school,no,no,yes,may,mon,2,0,93.994,-36.4,5191,no
59,retired,married,professional.course,no,no,no,may,mon,2,0,93.994,-36.4,5191,no
43,admin.,married,university.degree,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
42,admin.,married,high.school,no,yes,no,may,mon,2,0,93.994,-36.4,5191,no
